# File S6. Coracle output of bacterial ASVs of top5 high-scoring families.,,,,,,,,,,,,,
,score,l1_rfr,l1_lasso_rfr,l1_alasso_rfr,l1_cfs_rfr,clr_rfr,clr_lasso_rfr,clr_alasso_rfr,clr_cfs_rfr,l1_lasso_coef,l1_alasso_coef,clr_lasso_coef,clr_alasso_coef
ASV0404,8.8e-05,0.001,0,8.9e-05,0,0.0012,0,0,0,0,-2.40E-05,0,0
ASV0120,8.8e-05,0.0027,0,0,0,0.0019,0,0,0,0,0,0,0
ASV0343,8.6e-05,0.00057,0,0,0,0.0037,0,0,0,0,0,0,0
ASV3722,8.4e-05,2.3e-05,0,0,0.0023,0.00058,0,0,0,0,0,0,0
ASV0342,8.4e-05,0.00021,0,0,0,0.004,0,0,0,0,0,0,0
ASV0108,8.2e-05,0.0019,0,0,0,0.0024,0,0,0,0,0,0,0
ASV0252,7.9e-05,0.0025,0,0,0,0.0017,0,0,0,0,0,0,0
ASV0473,6.5e-05,0.00087,0,0,0,0.0024,0,0,0,0,0,0,0
ASV3089,6.2e-05,9.4e-05,0,0,0,0.003,0,0,0,0,0,0,0
ASV0338,5.7e-05,8.4e-05,0,0,0,0.0027,0,0,0,0,0,0,0
ASV2198,5.2e-05,7.4e-05,0,1.3e-05,0,0.0012,0,0,0,0,-2.40E-05,0,0
ASV0850,4.5e-05,0.0002,0,0,0,0.002,0,0,0,0,0,0,0
ASV2149,3.8e-05,4.7e-06,0,0,0,0.0019,0,0,0,0,0,0,0
ASV1294,3.6e-05,1e-06,0,0,0,0.0018,0,0,0,0,0,0,0
ASV2440,3.4e-05,7.7e-05,0,0,0,0.0016,0,0,0,0,0,0,0
ASV3724,2.9e-05,1e-06,0,0,0,0.0014,0,0,0,0,0,0,0
ASV0209,2.8e-05,0.00028,0,0,0,0.0011,0,0,0,0,0,0,0
ASV2442,2.6e-05,0.00021,0,0,0,0.0011,0,0,0,0,0,0,0
ASV2523,2.2e-05,4.4e-06,0,0,0,0.0011,0,0,0,0,0,0,0
ASV0516,2.1e-05,0.00033,0,0,0,0.00074,0,0,0,0,0,0,0
ASV4562,2e-05,0.0002,0,0,0,0.00079,0,0,0,0,0,0,0
ASV0759,1.9e-05,5.3e-05,0,9.4e-06,0,0.00042,0,0,0,0,-7.90E-05,0,0
ASV1313,1.9e-05,0.00047,0,0,0,0.00054,0,0,0,0,0,0,0
ASV3035,1.9e-05,1.8e-05,0,0,0,0.00092,0,0,0,0,0,0,0
ASV2574,1.9e-05,0.0002,0,0,0,0.00073,0,0,0,0,0,0,0
ASV2756,1.8e-05,0.00027,0,3.7e-05,0,0.00018,0,0,0,0,-1.10E-05,0,0
ASV0448,1.7e-05,6.7e-05,0,0,0,0.00077,0,0,0,0,0,0,0
ASV1780,1.7e-05,4.2e-06,0,3.3e-06,0,0.00041,0,0,0,0,1.6e-05,0,0
ASV1381,1.5e-05,7.7e-05,0,0,0,0.00067,0,0,0,0,0,0,0
ASV4164,1.4e-05,9.6e-06,0,0,0,0.00066,0,0,0,0,0,0,0
ASV0801,1.3e-05,0.00015,0,0,0,0.00049,0,0,0,0,0,0,0
ASV0911,1.2e-05,0.00024,0,0,0,0.0004,0,0,0,0,0,0,0
ASV0854,1.2e-05,1.8e-05,0,0,0,0.00059,0,0,0,0,0,0,0
ASV3067,1.2e-05,2e-05,0,0,0,0.00055,0,0,0,0,0,0,0
ASV1687,1.1e-05,2.9e-05,0,4.3e-05,0,0.00022,0,0,0,0,-2.80E-05,0,0
ASV2445,1.1e-05,2.6e-06,0,0,0,0.00056,0,0,0,0,0,0,0
ASV4166,1e-05,1.4e-07,0,0,0,0.00049,0,0,0,0,0,0,0
ASV2260,9.6e-06,5.6e-05,0,0,0,0.00042,0,0,0,0,0,0,0
ASV4442,9.5e-06,0,0,0,0,0.00094,0,0,0,0,0,0,0
ASV2779,8.8e-06,6e-06,0,0,0,0.00043,0,0,0,0,0,0,0
ASV2142,7.1e-06,1.3e-06,0,0,0,0.00035,0,0,0,0,0,0,0
ASV4310,6.4e-06,1.9e-07,0,0,0,0.00031,0,0,0,0,0,0,0
ASV3971,6.2e-06,8.2e-05,0,0,0,0.00023,0,0,0,0,0,0,0
ASV3874,6.1e-06,9.5e-10,0,0,0,0.0003,0,0,0,0,0,0,0
ASV2311,5.6e-06,3.7e-05,0,0,0,0.00024,0,0,0,0,0,0,0
ASV2243,5.5e-06,0,0,0,0,0.00054,0,0,0,0,0,0,0
ASV3269,5e-06,3.2e-07,0,0,0,0.00025,0,0,0,0,0,0,0
ASV3243,4.3e-06,1.5e-07,0,0,0,0.00021,0,0,0,0,0,0,0
ASV2100,4.1e-06,9.5e-06,0,0,0,0.0002,0,0,0,0,0,0,0
ASV3609,4e-06,4.7e-07,0,0,0,0.0002,0,0,0,0,0,0,0
ASV2572,4e-06,1.5e-07,0,0,0,0.00019,0,0,0,0,0,0,0
ASV2101,3.9e-06,1.3e-06,0,3.1e-06,0,9.2e-05,0,0,0,0,1.2e-05,0,0
ASV1176,3.3e-06,9.8e-05,0,0,0,7.5e-05,0,0,0,0,0,0,0
ASV4022,2.7e-06,9.9e-05,0,0,0,4.8e-05,0,0,0,0,0,0,0
ASV4649,2.6e-06,8.5e-05,0,0,0,5.4e-05,0,0,0,0,0,0,0
ASV4062,2.5e-06,0.00012,0,0,0,1.6e-05,0,0,0,0,0,0,0
ASV3723,2e-06,0,0,0,0,0.0002,0,0,0,0,0,0,0
ASV1605,9.8e-07,4.1e-07,0,0,0,4.8e-05,0,0,0,0,0,0,0
