# File S4. Bacterial family Coracle output.,,,,,,,,,,,,,
,score,l1_rfr,l1_lasso_rfr,l1_alasso_rfr,l1_cfs_rfr,clr_rfr,clr_lasso_rfr,clr_alasso_rfr,clr_cfs_rfr,l1_lasso_coef,l1_alasso_coef,clr_lasso_coef,clr_alasso_coef
Nisaeaceae,0.00015,1.4e-06,0,0,0,0.0081,0,0,0,0,0,0,0
Thermoanaerobaculaceae,0.00015,0.003,0,0,0,0.0052,0,0,0,0,0,0,0
Thalassospiraceae,0.00013,0.0059,0,0,0,0.0017,0,0,0,0,0,0,0
Pseudomonadaceae,0.00012,0.007,0,0,0,2.4e-05,0,0,0,0,0,0,0
Desulfobulbaceae,0.00012,8.9e-05,0,0.0034,0,4.3e-05,0,0,0,0,-1.40E-05,0,0
Terasakiellaceae,0.0001,0.0048,0,0,0,0.001,0,0,0,0,0,0,0
Erysipelotrichaceae,0.0001,0,0,0,0.0066,3.6e-07,0,0,0,0,0,0,0
Neisseriaceae,0.0001,0.0053,0,0,0,0.00049,0,0,0,0,0,0,0
Francisellaceae,9.2e-05,0.0049,0,0,0,0.00043,0,0,0,0,0,0,0
Legionellaceae,8.4e-05,0.0028,0,0,0,0.0019,0,0,0,0,0,0,0
Oligoflexaceae,7.4e-05,0.00029,0,0,0,0.0038,0,0,0,0,0,0,0
Clade_II,6.9e-05,0.004,0,0,0,1.3e-05,0,0,0,0,0,0,0
Cyclobacteriaceae,5.3e-05,0.0019,0,0,0,0.0011,0,0,0,0,0,0,0
Anaplasmataceae,4.7e-05,0.0024,0,0,0,0.00033,0,0,0,0,0,0,0
Kordiimonadaceae,4.6e-05,2.2e-06,0,0,0,0.0025,0,0,0,0,0,0,0
Alcanivoracaceae,4.1e-05,0.00064,0,0,0,0.0016,0,0,0,0,0,0,0
Nannocystaceae,3.9e-05,0.0005,0,0,0,0.0017,0,0,0,0,0,0,0
Kiloniellaceae,3.8e-05,0.00033,0,0,0,0.0018,0,0,0,0,0,0,0
Temperatibacteraceae,3.8e-05,0.0022,0,0,0,4.2e-05,0,0,0,0,0,0,0
Sandaracinaceae,3.2e-05,0.00045,0,0,0,0.0014,0,0,0,0,0,0,0
Coxiellaceae,3.1e-05,0.00052,0,0,0,0.0012,0,0,0,0,0,0,0
Vermiphilaceae,3e-05,0.00017,0,0,0,0.0015,0,0,0,0,0,0,0
Marinifilaceae,2.9e-05,0.00022,0,0,0,0.0014,0,0,0,0,0,0,0
Fimbriimonadaceae,2.8e-05,2.4e-05,0,0,0,0.0015,0,0,0,0,0,0,0
Thioalkalispiraceae,2.7e-05,0.00015,0,0,0,0.0013,0,0,0,0,0,0,0
Woeseiaceae,2.6e-05,0.00032,0,0,0,0.0011,0,0,0,0,0,0,0
NS9_marine_group,2.6e-05,0.0014,0,0,0,6.9e-05,0,0,0,0,0,0,0
P3OB-42,2.5e-05,0.00011,0,0,0,0.0013,0,0,0,0,0,0,0
Desulfovibrionaceae,2.5e-05,9.8e-06,0,0.00065,0,5.5e-05,0,0,0,0,-2.60E-05,0,0
Devosiaceae,2.4e-05,0.00029,0,0,0,0.001,0,0,0,0,0,0,0
Cryomorphaceae,2.3e-05,0.00076,0,0,0,0.00056,0,0,0,0,0,0,0
Bdellovibrionaceae,2.3e-05,0.00049,0,0,0,0.00081,0,0,0,0,0,0,0
Sphingomonadaceae,2e-05,0.00046,0,0,0,0.00069,0,0,0,0,0,0,0
Rhodocyclaceae,2e-05,0.00096,0,0,0,0.00017,0,0,0,0,0,0,0
Salinisphaeraceae,2e-05,0,0,0,0,0.0022,0,0,0,0,0,0,0
Arcobacteraceae,1.9e-05,0.00091,0,0,0,0.0002,0,0,0,0,0,0,0
Litoricolaceae,1.9e-05,0,0,0,0,0.0021,0,0,0,0,0,0,0
