SampleID	SwabID	Sample_Date	Location	Lat	Lon	Species	Sp_Abv	TTX_nmol_mg	TTX_mg	mass_g	svl_mm	sex	breeding_condition	Notes	DateDNAExtracted	zoospore_estimates	Log_bd	infected	ReadCount	antifungal_richness	antifungal_total	Propor_TotalAntiFungal	Propor_TotalAntiFungalRichness	TTX_Richness	TotalTTX	Propor_TotalTTX	TTX_Whole	Bd_Real
Tt.10J1	10J1	2/19/20	Madonna	37.003992	-121.681136	Taricha_torosa	Tt	0.443634576	0.645196695	22.22	74	M	aquatic		1/10/22	0	0	0	16	NA	NA	NA	NA	NA	NA	NA	Low	Negative
Tt.10J4	10J4	5/11/20	Cold Creek	34.09232115	-118.6477477	Taricha_torosa	Tt	0.154988631	0.297878997	21.89	72.13	M	aquatic		1/9/22	23038.596	4.3625	1	12297	8	2568	0.675789474	0.242424242	0	0	0	Low	Positive
Tt.10K1	10K1	2/19/20	Madonna	37.003992	-121.681136	Taricha_torosa	Tt	1.639088103	1.471545461	17.69	73.37	F	gravid		1/10/22	0	0	0	9923	19	1438	0.378421053	0.452380952	2	34	0.008947368	High	Negative
Tt.10K4	10K4	5/11/20	Cold Creek	34.09232115	-118.6477477	Taricha_torosa	Tt	0.024301955	0.020791206	23.56	74.67	M	terrestrial		1/9/22	195.3811	2.2931	1	9801	25	3433	0.903421053	0.257731959	4	21	0.005526316	Low	Positive
Tt.10L1	10L1	2/19/20	Madonna	37.003992	-121.681136	Taricha_torosa	Tt	1.230113682	1.8287783	22.91	82.37	F	gravid		1/10/22	0	0	0	12380	10	17	0.004473684	0.666666667	0	0	0	High	Negative
Tt.10L4	10L4	5/11/20	Cold Creek	34.09232115	-118.6477477	Taricha_torosa	Tt	0.124577824	0.148626854	18.12	72.01	M	terrestrial		1/9/22	287.1526	2.4596	1	3	NA	NA	NA	NA	NA	NA	NA	Low	Positive
Tt.10M1	10M1	2/19/20	Bolinger	37.812139	-122.044156	Taricha_torosa	Tt	0.108607589	0.156432215	13.78	71.47	M	aquatic		1/9/22	0	0	0	6473	20	175	0.046052632	0.238095238	2	2	0.000526	Low	Negative
Tt.10M4	10M4	5/11/20	Cold Creek	34.09232115	-118.6477477	Taricha_torosa	Tt	0.857241683	0.464483663	14.57	66.22	F	gravid		1/9/22	339.3025	2.5319	1	8998	21	3646	0.959473684	0.381818182	1	28	0.007368421	Low	Positive
Tt.10N1	10N1	2/20/20	Gunstock	37.836388	-122.54455	Taricha_torosa	Tt	0.009441557	0.005138848	8.58	56.37	M	aquatic		1/10/22	0	0	0	9416	21	839	0.220789474	0.368421053	4	171	0.045	Low	Negative
Tt.10N4	10N4	5/11/20	Cold Creek	34.09232115	-118.6477477	Taricha_torosa	Tt	0.385962096	0.150686589	19.32	70.13	M	terrestrial		1/9/22	2740.7167	3.438	1	13737	12	3112	0.818947368	0.315789474	0	0	0	Low	Positive
Tt.10O1	10O1	2/20/20	Gunstock	37.836388	-122.54455	Taricha_torosa	Tt	0.052993898	0.031540967	14.11	66.82	M	aquatic		1/10/22	0	0	0	12674	5	138	0.036315789	0.294117647	0	0	0	Low	Negative
Tt.10O4	10O4	5/11/20	Cold Creek	34.09232115	-118.6477477	Taricha_torosa	Tt	1.242157309	0.911101085	17.71	69.71	F	non-gravid		1/9/22	304.7576	2.4854	1	11118	11	1150	0.302631579	0.407407407	1	25	0.006578947	Low	Positive
Tt.10P1	10P1	2/20/20	Gunstock	37.836388	-122.54455	Taricha_torosa	Tt	0.005957403	0.003909595	11.13	58.74	M	aquatic		1/10/22	0	0	0	7852	19	3078	0.81	0.2	1	622	0.163684211	Low	Negative
Tt.10P4	10P4	5/11/20	Cold Creek	34.09232115	-118.6477477	Taricha_torosa	Tt	0.073777302	0.062895111	13.02	67.19	M	aquatic		1/9/22	4370.7441	3.6407	1	10423	10	2194	0.577368421	0.212765957	2	7	0.001842105	Low	Positive
Tt.10Q1	10Q1	2/20/20	Gunstock	37.836388	-122.54455	Taricha_torosa	Tt	0.012000972	0.006157635	7.3	53.39	F	gravid		1/10/22	0	0	0	7832	22	542	0.142631579	0.176	4	24	0.006315789	Low	Negative
