SampleID,SwabID,Sample_Date,Location,Lat,Lon,Species,Sp_Abv,TTX_nmol_mg,TTX_mg,mass_g,svl_mm,sex,breeding_condition,Notes,DateDNAExtracted,Bd_Quant,LogLoad,Infected,ReadCount,observed_features,faith_pd,shannon_entropy,pielou_evenness,ExpShannon,AntiFungal_Richness,TotalreadsAntiFungal,Propor_TotalAntiFungal,Propor_TotalAntiFungalRichness,TTX_Richness,TotalreadsTTX,Propor_TotalTTX
Tt.10A1,10A1,2/19/20,Madonna,37.003992,-121.681136,Taricha_torosa,Tt,0.16666651,0.122752158,20.04,68.93,M,aquatic,,1/10/22,0,0,0,6128,122,11.28516918,2.652663013,0.382738933,14.19178127,18,205,0.053947368,0.147540984,1,2,0.000526
Tt.10A2,10A2,2/20/20,Muir,37.862,-122.573239,Taricha_torosa,Tt,1.057675309,0.603085706,25.39,72.83,M,aquatic,,1/9/22,0,0,0,10169,72,6.802486666,2.31037727,0.374457918,10.07822615,19,376,0.098947368,0.263888889,1,3,0.000789
Tt.10B1,10B1,2/19/20,Madonna,37.003992,-121.681136,Taricha_torosa,Tt,0.323943854,0.428018578,22.2,79.54,M,aquatic,,1/10/22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tt.10B2,10B2,2/20/20,Muir,37.862,-122.573239,Taricha_torosa,Tt,5.53710409,2.615774881,29.16,69.55,M,aquatic,,1/9/22,0,0,0,10407,134,12.59477183,2.429803697,0.343868246,11.35665251,21,432,0.113684211,0.156716418,4,5,0.001315789
Tt.10C1,10C1,2/19/20,Madonna,37.003992,-121.681136,Taricha_torosa,Tt,1.121919759,1.563532743,22.34,73.33,M,aquatic,,1/10/22,0,0,0,9383,5,0.712613991,0.763756356,0.328931959,2.146323452,2,43,0.011315789,0.4,0,0,0
Tt.10C2,10C2,2/20/20,Crocker,38.770492,-122.970651,Taricha_torosa,Tt,8.546336737,8.576157362,11.64,65.33,M,terrestrial,This male was possibly a T. granulosa,1/9/22,0,0,0,11372,66,5.103508674,2.642032702,0.437104638,14.04171725,29,3444,0.906315789,0.439393939,4,60,0.015789474
Tt.10D1,10D1,2/19/20,Madonna,37.003992,-121.681136,Taricha_torosa,Tt,0.697500674,0.553130162,19.87,73.16,M,aquatic,,1/10/22,0,0,0,12017,8,0.873617694,1.209479796,0.403159932,3.351740611,4,7,0.001842105,0.5,0,0,0
Tt.10E1,10_E1,2/19/20,Madonna,37.003992,-121.681136,Taricha_torosa,Tt,1.234734727,0.776234625,23.99,78.96,M,aquatic,,1/9/22,0,0,0,9643,21,2.553425262,1.239234015,0.282136716,3.452967532,12,111,0.029210526,0.571428571,1,2,0.000526
Tt.10F1,10F1,2/19/20,Madonna,37.003992,-121.681136,Taricha_torosa,Tt,0.436645527,0.40867308,25.02,74.9,M,aquatic,,1/10/22,0,0,0,12402,10,1.637173973,1.394988576,0.419933405,4.034928476,5,5,0.001315789,0.5,1,1,0.000263
Tt.10G1,10G1,2/19/20,Madonna,37.003992,-121.681136,Taricha_torosa,Tt,0.378948746,0.779169443,28.51,84.6,M,aquatic,,1/10/22,0,0,0,10664,17,1.805267279,1.084176742,0.265244428,2.957004439,12,92,0.024210526,0.705882353,0,0,0
Tt.10H1,10H1,2/19/20,Madonna,37.003992,-121.681136,Taricha_torosa,Tt,1.867874946,0.644371719,18.3,75.94,M,aquatic,,1/10/22,0,0,0,12211,14,2.229665164,1.089567642,0.286174435,2.972988401,9,84,0.022105263,0.642857143,1,13,0.003421053
Tt.10H4,10H4,5/11/20,Cold_Creek,34.09232115,-118.6477477,Taricha_torosa,Tt,1.322443271,0.98551511,12.57,61.47,F,non-gravid,,1/9/22,398.3964,2.6014,1,9851,58,7.389329728,2.395100837,0.408861148,10.96930412,12,2003,0.527105263,0.206896552,0,0,0
Tt.10I1,10I1,2/19/20,Madonna,37.003992,-121.681136,Taricha_torosa,Tt,0.33156451,0.386375339,20.02,74.69,F,gravid,,1/9/22,0,0,0,12156,31,3.807874405,1.769316122,0.357134843,5.866839787,18,1065,0.280263158,0.580645161,2,120,0.031578947
Tt.10I4,10I4,5/11/20,Cold_Creek,34.09232115,-118.6477477,Taricha_torosa,Tt,1.085728784,1.045689086,17.04,70.46,M,terrestrial,,1/9/22,563.2262,2.7515,1,10586,50,6.81725956,2.208602757,0.391328674,9.102988415,4,2220,0.584210526,0.08,0,0,0
Tt.10J1,10J1,2/19/20,Madonna,37.003992,-121.681136,Taricha_torosa,Tt,0.443634576,0.645196695,22.22,74,M,aquatic,,1/10/22,0,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tt.10J4,10J4,5/11/20,Cold_Creek,34.09232115,-118.6477477,Taricha_torosa,Tt,0.154988631,0.297878997,21.89,72.13,M,aquatic,,1/9/22,23038.596,4.3625,1,12297,33,4.576732473,2.134022827,0.423048393,8.448786543,8,2568,0.675789474,0.242424242,0,0,0
Tt.10K1,10K1,2/19/20,Madonna,37.003992,-121.681136,Taricha_torosa,Tt,1.639088103,1.471545461,17.69,73.37,F,gravid,,1/10/22,0,0,0,9923,42,4.097134792,2.429990776,0.450639416,11.35877731,19,1438,0.378421053,0.452380952,2,34,0.008947368
Tt.10K4,10K4,5/11/20,Cold_Creek,34.09232115,-118.6477477,Taricha_torosa,Tt,0.024301955,0.020791206,23.56,74.67,M,terrestrial,,1/9/22,195.3811,2.2931,1,9801,97,9.450817616,1.902204775,0.288216651,6.700651597,25,3433,0.903421053,0.257731959,4,21,0.005526316
Tt.10L1,10L1,2/19/20,Madonna,37.003992,-121.681136,Taricha_torosa,Tt,1.230113682,1.8287783,22.91,82.37,F,gravid,,1/10/22,0,0,0,12380,15,2.380072146,1.556095657,0.398295171,4.7402774,10,17,0.004473684,0.666666667,0,0,0
Tt.10L4,10L4,5/11/20,Cold_Creek,34.09232115,-118.6477477,Taricha_torosa,Tt,0.124577824,0.148626854,18.12,72.01,M,terrestrial,,1/9/22,287.1526,2.4596,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
