,Phylum,Class,Order,Family,Genus
ASV0064,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter
ASV0066,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium
ASV0067,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Catenococcus
ASV0068,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Cohaesibacter
ASV0069,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas
ASV0070,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,
ASV0071,Proteobacteria,Gammaproteobacteria,,,
ASV0073,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria
ASV0074,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina
ASV0075,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
ASV0076,Actinobacteria,Actinobacteria,PeM15,,
ASV0077,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria
ASV0078,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aureivirga
ASV0079,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Roseitalea
ASV0080,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Candidatus_Endoecteinascidia
ASV0081,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,
ASV0082,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Phaeobacter
ASV0083,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter
ASV0084,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria
ASV0085,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Lutimaribacter
ASV0086,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria
ASV0087,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
ASV0088,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter
ASV0089,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,
ASV0090,Actinobacteria,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Ilumatobacter
ASV0091,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Nonlabens
ASV0092,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Catenococcus
ASV0093,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV0094,Bacteroidetes,Rhodothermia,Rhodothermales,Rhodothermaceae,
ASV0095,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,
ASV0096,Proteobacteria,Deltaproteobacteria,Bradymonadales,,
ASV0097,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria
ASV0098,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,
ASV0099,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pelagibaca
ASV0100,Proteobacteria,Gammaproteobacteria,Oceanospirillales,,
ASV0101,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Rhodoluna
ASV0102,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Lacimicrobium
ASV0104,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Marinomonadaceae,Marinomonas
ASV0105,Chlamydiae,Chlamydiae,Chlamydiales,Simkaniaceae,Simkania
ASV0106,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter
ASV0107,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas
ASV0108,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,
ASV0109,Firmicutes,Clostridia,Clostridiales,Family_XII,Fusibacter
ASV0110,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,
ASV0111,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter
ASV0112,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium
ASV0113,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter
ASV0114,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
ASV0115,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas
ASV0116,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas
ASV0117,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cribrihabitans
ASV0118,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Anaeromicrobium
ASV0119,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Catenococcus
ASV0120,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter
ASV0121,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Ferrimonas
ASV0122,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium
ASV0123,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria
ASV0124,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter
ASV0125,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,
ASV0126,Chlamydiae,Chlamydiae,Chlamydiales,Simkaniaceae,Ga0074140
ASV0127,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Nautella
ASV0128,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria
ASV0129,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Leisingera
ASV0130,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia
ASV0131,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,
ASV0132,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
ASV0133,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
ASV0134,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,
ASV0135,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV0136,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Oceanospirillum
ASV0137,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Polynucleobacter
ASV0138,Proteobacteria,Deltaproteobacteria,Bradymonadales,,
ASV0139,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV0140,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas
ASV0142,Firmicutes,Clostridia,Clostridiales,Family_XII,Fusibacter
ASV0143,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Oceanospirillum
ASV0144,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ASV0145,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Cohaesibacter
ASV0146,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
ASV0147,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,HIMB11
ASV0148,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Tepidibacter
ASV0149,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium
ASV0150,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Oceanicaulis
ASV0151,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
ASV0152,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira
ASV0153,Firmicutes,Clostridia,Clostridiales,Family_XII,Fusibacter
ASV0154,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
ASV0155,Patescibacteria,Gracilibacteria,JGI_0000069-P22,,
ASV0156,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV0157,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Leisingera
ASV0158,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Marivita
ASV0159,Marinimicrobia_(SAR406_clade),,,,
